Name,Rating,Date,flat_reviews
,5.0,Dec 5 2016,"best,horror,series,ever"
,4.5,Dec 4 2016,"brilliant,cast,,production,values,,,elements,,,original,live,inside,,series,,,playing,,present,day,ben,daniel,casting,,father,marcus,,genius,,keep,,eye,,,excellent,,davis,455"
,5.0,Dec 3 2016,"cracking,show,,probably,get,canceled,like,,,,good,shows,,,simpletons,dont,get,"
,5.0,Dec 3 2016,"ah,amazing,,,cancel,,show,,people,,watching,,,,,watch,potato,chip,shows,like,,kardashians,,,,attention,span,,,fly"
,4.5,Dec 3 2016,"professional,critics,opinions,rarely,line,,,,man,,,street,,,,case,,,,program,,,,critics,,showing,,,,wrong,side,,television,history,yes,,exorcise,started,,,,slow,,,viewer,believes,,,,deliberate,step,,,professional,units,,moreover,,smart,move,,,production,tears,part,,,,much,,,desire,,,everything,right,,every,answer,delivered,,due,,today,viewing,audience,maybe,hum,regardless,exorcise,,smart,,navvy,relying,,psychology,,twist,rather,,,overabundance,,supernatural,scars,,jumps,,motivate,,audience,,watch,,,actors,really,give,,,,making,,love,,alternately,despise,,characters,appropriately,giving,,situations,,,,,choice,,make,,,slowly,,,dragging,mystery,,unfolding,,continues,,draw,,faithful,watches,,enough,patience,,,absorbed,,,devilish,world,,truly,enjoying,,show,,,encourage,,,,,disregard,,nativity,,,hightowered,units,,give,,,try"
,5.0,Dec 2 2016,"give,seen,every,episode,,twice,,,,,friday,night,,would,,,viewer,watch,,,like,"
,5.0,Nov 30 2016,",enfants,,favor,,la,quite,los,actors,santo,come,mexicans,,estadounidenses,,bien,,paper,est,series,debería,tender,4,temporadas"
,5.0,Nov 28 2016,",love,,instant,fan"
,5.0,Nov 27 2016,"best,horror,show,,,nowfox,finally,came,"
,4.0,Nov 27 2016,"scar,fantastic,great,performances,,usually,watch,,daylight,look,forward,,,every,week"
,5.0,Nov 27 2016,"excellent,horror,show,,enough,nods,,,classic,,keeping,,,individual,storyline,superb,acting,captivating,writing,,,absolute,thrill,ride,,week,,highly,suggest,,show,,anyone,,enjoys,classic,horror,,,slightest"
,5.0,Nov 26 2016,"love,,,want,"
,5.0,Nov 26 2016,",finally,saw,,end,,,run,,,,people,agent,talking,,,,,,clue,,acting,,direction,writing,alike,,,,show,,,,,,home,theater,,,tell,,get,,lights,low,,get,sucked,,yeah,,,pick,,apart,,,,,,say,"
,5.0,Nov 26 2016,",love,,show,great,acting,,storyline,,hope,,series,continues"
,5.0,Nov 24 2016,",,love,horror,,love,,show"
,5.0,Nov 24 2016,"loved,every,episode,,far,great,acting,hope,,,,renewed"
,4.5,Nov 22 2016,"like,many,others,,,skeptically,,hell,,,heard,,,coming,,sometimes,,feel,like,hollywood,,kind,,giving,,,backward,,,jaw,,,,moves,reached,,television,shows,,,,dislike,,simply,,,,,,,ill,say,,,skeptically,,best,,,2,reasons,,gave,,show,,shot,reason,1,,cargo,series,,ff,,,good,,knew,,,possible,,take,,beloved,movie,,turn,,,something,great,reason,2,,wanted,,see,,,mess,,show,would,,well,,,tell,,,,,turn,,,mess,,,damn,near,brilliant,,pilot,episode,,one,,,best,st,episodes,,,new,season,,,remember,,quite,,time,without,going,,details,,,plot,,much,,dont,want,,give,away,anything,,,,show,stays,faithful,,,source,material,,atmosphere,,terrific,,actors,,,spot,especially,hannah,kaska,,cases,france,,ben,daniel,,father,marcus,deane,,whole,feel,,,show,,,opening,minutes,captures,,mood,,,original,,georgetown,setting,,transplanted,,chicago,many,reasons,,could,go,,,decision,,seemed,relevant,,,think,,city,played,,major,character,,,,,tiens,,,movie,,yet,,,,,confident,,could,pulled,,,,another,way,,show,,,good,,much,actually,creep,,,anymore,,,show,,,job,,,first,episode,,,,watched,,,truly,missing,,,,great,television,,,,age,,,,push,boundary,,boundary,,television,,shows,work,,shows,fail,miserable,,show,workman,works,well,,show,needs,,second,season,watch,,tell,,friends,sorry,,,,bit,,,,place,first,review,ever"
,5.0,Nov 22 2016,"best,show,,fox,please,dont,cancel"
,5.0,Nov 21 2016,"absolutely,love,,show,,seriously,hope,,renew,"
,5.0,Nov 21 2016,",,,favorite,show,,date,,eerie,,frightening,many,,,friends,cannot,watch,,alone,,acting,,super,,,special,effects,,awesome,,love,,,,tied,,,book,,movie,,well,,want,another,season,please"
,5.0,Nov 21 2016,"one,,,best,series,,,watched,,,"
,5.0,Nov 21 2016,"love,love,,show,extremely,scar,keeps,,,,edge,,,seat,every,episode"
,5.0,Nov 21 2016,",,great,show,great,actors,,want,"
,5.0,Nov 21 2016,"love,,show,let,,,,season,2"
,5.0,Nov 21 2016,",muster,,series,,2016,great,show,hope,,,,renewed,,season,2,,ending,,episode,8,,,never,expected,"
,5.0,Nov 21 2016,"exceptional,,every,way,superb,brilliant"
,5.0,Nov 21 2016,",best,scar,show,,,,love,,,story,line,,super,engaging,,ties,,,beautifully,,,original,movie,special,effects,,spot,,well,worth,watching,week,,week"
,5.0,Nov 20 2016,"truly,,best,thing,,happen,,television,,highly,recommend,,show,,everyone,,,seen,,,,start,watching,,,,completely,hooked"
,5.0,Nov 20 2016,",series,must,continue,,acting,,wonderful,,intrigue,,overwhelming,pure,watchable,"
,5.0,Nov 20 2016,"best,horror,drama,show,,,time,good,story,acting,,writing,,character,cases,,awesome,congress,fox,,,,,excited,,,next,chapters,,,second,season,,course"
,5.0,Nov 20 2016,",,show,,,never,ending,thrill,ride,,acting,,amazing,,really,allows,,,feel,,,characters,,feeling,,show,,draw,,,,leave,,begging,,"
,5.0,Nov 20 2016,"excellent,show,excellent"
,5.0,Nov 20 2016,"addicted,,,show"
,5.0,Nov 20 2016,"finally,,horror,,show,,keeps,,attention"
,5.0,Nov 20 2016,",admitting,,wait,,season,2"
,5.0,Nov 20 2016,",show,keeps,getting,better,better"
,5.0,Nov 20 2016,",,one,,,best,,shows,,,seen,,,,long,time,great,scars,interesting,story,line,,,love,,call,backs,,,film,cast,,amazing,,davis,,fabulous"
,5.0,Nov 20 2016,"personally,,think,,show,,much,better,,,movie,brilliant,story,brilliant,characters,brilliant,acting,,,staying,true,,,original,,show,keeps,getting,better,,better,,episode"
,5.0,Nov 20 2016,",show,,amazing,,deserves,,second,season,,,many,twists,,,,watched,,,,better,get,,foxcom,,search,,,episodes,believe,,,worth,,,,hooked,,,show"
,5.0,Nov 20 2016,",show,,,well,written,,,,fan,,horror,moves,,,,stop,watching,,show,well,done"
,5.0,Nov 20 2016,",best,horror,series,,,season,nothing,,nothing,less"
,5.0,Nov 20 2016,"one,,,favorite,shows,,show,gave,,twist,,,,,expecting,,,look,forward,,week,,see,new,episodes"
,5.0,Nov 20 2016,"deserves,way,,recognition,awesome,show,,,wonderful,tribute,,,original,moviebook,id,,sad,,,good,show,like,,would,get,canceled,,,,enough,people,know,,,pump,,,hope"
,5.0,Nov 19 2016,",,,amazing,show,great,writing,great,actors"
,4.0,Nov 19 2016,",really,like,,show,give,,,shot,,first,episode,,get,,attention"
,5.0,Nov 19 2016,",really,enjoy,,show,,,wait,,week,,see,,happens"
,5.0,Nov 19 2016,"one,,,best,shows,,,right,"
,4.0,Nov 19 2016,"best,horror,show,right,,,,great,surprise"
,5.0,Nov 19 2016,",show,,,amazing,,,,well,written,story,,,really,hope,fox,gives,,,chance,,,season,2"
,5.0,Nov 19 2016,",,great,show,love,,,going,,,original,movie,exorcise,love,,,actors,especially,,davis,,wait,,friday,nights,,,,show"
,5.0,Nov 19 2016,",,,,,dull,moment,,,show,yet,,,watched,,,first,episode,,,,,,story,,become,,interesting,,rioting,,,show,goes,,,characters,,developed,nicely,,fact,,,stems,,,book,,sort,,like,,follow,,,,really,made,,awesome,,,expect,,,loved,,angle,,,,presented,superb,story,great,acting"
,5.0,Nov 19 2016,",show,,amazing,,needs,,renew"
,5.0,Nov 19 2016,"best,show,,2016,,,brilliant,true,,,original,great,cast,,grows,stronger,,episode"
,5.0,Nov 19 2016,"captivating,characters,,plot,,keeps,,hooked,disturbing,,frightening,shocks,,show,,undeniably,one,,,better,,,,best,horror,,,got,right,"
,4.5,Nov 19 2016,",show,,highly,underrated"
,4.5,Nov 19 2016,",,spectacular,,love,,,must,continue,,,,seen,anything,like,,,television,,,,shocking,gritty,,fascinating,,people,,never,seen,,,"
,5.0,Nov 19 2016,"excellent,series,genuinely,,psychological,terrifying,without,,reliance,upon,cheap,jump,scars,,halloween,mass,tackle,,popular,demon,possession,angle,,,unique,,intelligent,perspective,,line,,,original,horror,movie,,,,story,,,compelling,,superb,written,,develops,naturally,,,course,,,season,providing,shocking,plot,twists,,surprising,revelation,,fan,,,original,movie,,well,,horror,fan,,general,,,,must,watch"
,5.0,Nov 19 2016,"currently,,far,show,,watch"
,5.0,Nov 19 2016,"fantastic,show,much,,,,,meets,,eye"
,5.0,Nov 19 2016,",,,fiance,love,love,love,,show,,best,,series,,nowplease,dont,cancelseason,2"
,5.0,Nov 18 2016,",brilliantly,rendered,program,,great,use,,characters,plot,storytelling,oh,,horror,,,nothing,,,series,,,,love"
,5.0,Nov 18 2016,"best,scar,show,give,seen,,,,long,time,loving,,,,several,twists,,almost,every,episode,tonight,,,good,great,actors,,davis,really,showed,,,acting,crops,tonight"
,5.0,Nov 18 2016,",love,,show,please,renew,,,,second,season,,keeps,getting,better,,better,"
,5.0,Nov 18 2016,",say,,,series,,one,,,best,new,series,,,would,,,understatement,,,decade,,actually,,series,,,best,series,,come,,,since,supernatural"
,5.0,Nov 18 2016,"sooooooo,good,,tinge,watched,,show,last,saturday,afternoon,,,,hooked,,well,done,,exorcise,priest,,,,good,actor,,whole,cast,,great,,fact,please,give,,,second,season"
,5.0,Nov 18 2016,"exceptional,horror,series,love,,special,effects,,,actors,,writers,far,exceeded,,initial,expectations,,look,forward,,every,episode"
,5.0,Nov 18 2016,"amazing,show,1010,needs,,seasons,,,great,show,highly,recommend,"
,5.0,Nov 18 2016,"best,show,since,supernatural,,,please,renew,season,2"
,5.0,Nov 18 2016,"rioting,,gritty,make,,original,story,,plenty,,twists,,turns"
,4.0,Nov 18 2016,",,loving,,show,great,special,effects,,excellent,acting,,,good,continuation,,,original,movie,In,By,Humble,Opinion"
,5.0,Nov 18 2016,",show,exemplifies,,good,horror,,,,slow,build,unforeseen,plot,twists,,scars,,penetrate,ones,psychic,,,new,chapter,,,case,episode,unfold,,plot,,gets,thicker,,,,show,,must,,watched,,beginning,,end"
,5.0,Nov 18 2016,",show,got,better,,every,episode,many,left,,speechless,,good,,encourage,every,horror,lover,,watch,,,,anxiously,awaiting,,next,season,,,evenings,final"
,5.0,Nov 18 2016,"love,,,really,,,good,series"
,5.0,Nov 18 2016,",show,,amazing,,every,way,acting,story,line,special,effects,,name,,got,,,pays,homage,,,original,film,yet,still,,,,flair,,style,,,skeptically,,first,,,exceeded,,expectations,,show,needs,,stay,,,air,,,renewed"
,5.0,Nov 18 2016,",,,,great,show,,rarely,get,,,,,obsessed,,"
,5.0,Nov 18 2016,",series,gets,better,,,episode,,acting,,amazing,,,plot,holes,,actually,,real,plot,holes,everything,,explained,,,series,,,,mastery,,,,,superior,horror,series,,,nice,treat,,fan,,,original,film,,,,,watched,,movie,,,still,enjoy,,solid,acting,,takes,,time,surprising,twists,,,least,,,sexualhyper,gory,stuff,,get,,attention,,,something,great,,lately,,horror,series,seems,,,,,,would,,rapedeaten,alivecut,,little,pieces,,,"
,5.0,Nov 18 2016,"love,,,absolute,best,way,,spend,,friday,night"
,5.0,Nov 18 2016,"beautiful,,watch,wonderfully,acted,,compelling,scraped,,,,true,gem,,,many,may,overlook,,,brand,tushin"
,5.0,Nov 18 2016,"great,show,,,,link,,,original,film,,,talented,cast,fun,way,,horror,fan,,ease,,,weekend"
,5.0,Nov 18 2016,"great,showenjoy,watching"
,5.0,Nov 17 2016,",love,,,wait,,season,2"
,3.5,Nov 16 2016,",,thought,,donna,thirty,,surprisingly,fun"
,5.0,Nov 15 2016,"great,series,,,amazing,cast,totally,worth,"
,1.0,Nov 12 2016,",,heard,,,show,,,first,time,,got,,excited,,,got,,,,disappointed,,every,episode,let,,,sum,,,,one,word,lame,everything,,wrong,,,show,even,,church,stuff,,completely,inaccurate,,better,yet,false,,missed,opportunity"
,4.5,Nov 11 2016,",season,started,slowly,however,,,watch,,,,beginning,,learn,,appreciate,,answers,,,fan,,waited,,years,,hear,answers,,,happened,,began,,,get,,put,,face,,cut,rowdy,real,fan,,missing,,possibly,rather,fox,knows,,,,,,,something,awesome,,,,thought,started,,,appear,,lump,,coal,,,diamond,,,rough,,tale,,drama,crime,real,evil,incarnate,,,cold,dish,,sweet,sweet,revenge,,,side,,mystery,hmmmmmm,,,,something,awesome,,,,thought,started,,,appear,,lump,,coal,,,diamond,,,rough,,tale,,drama,crime,real,evil,incarnate,,,cold,dish,,sweet,sweet,revenge,,,side,,mystery,hmmmmmm"
,4.5,Nov 10 2016,",,without,,doubt,,,well,written,,acted,show,thus,far,,deserves,,full,5,stars"
,5.0,Nov 4 2016,"great,new,series,love,"
,4.5,Nov 2 2016,"soooooooo,goooood"
,4.0,Nov 1 2016,"started,,got,caught,,,,show,yesterday,,,,go,,,expecting,,,,like,,original,movie,,figured,,would,,,retelling,,like,,,,done,,,story,thus,far,,special,effects,,great,,,,enjoying,,creepgross,factor,throughout,,think,,story,line,,,characters,,good,,,show,,good,,building,,,original,movie,give,heard,,complaints,,,,enough,like,,original,movie,,,think,,thing,,keep,,mind,,,one,,,reasons,,original,,,,,,largely,,,,,,,made,,,,reached,,level,,pop,culture,status,,,dont,think,,,used,,judge,,show"
,4.0,Oct 27 2016,
